
Iter: 132, recon_loss: 2.9586, ce_loss: 0.2692, acc: 0.8856, mse: 0.0006, val_loss: 0.2861, val_acc: 0.8873, test_acc: 0.8967, test_auc: 0.9627
Iter: 133, recon_loss: 2.7898, ce_loss: 0.2593, acc: 0.8882, mse: 0.0006, val_loss: 0.2892, val_acc: 0.8873, test_acc: 0.8977, test_auc: 0.9569
Iter: 134, recon_loss: 2.6857, ce_loss: 0.2669, acc: 0.8815, mse: 0.0006, val_loss: 0.2802, val_acc: 0.8862, test_acc: 0.9052, test_auc: 0.9560
Iter: 135, recon_loss: 2.7873, ce_loss: 0.2742, acc: 0.8806, mse: 0.0006, val_loss: 0.2891, val_acc: 0.8838, test_acc: 0.8995, test_auc: 0.9600
Iter: 136, recon_loss: 2.5926, ce_loss: 0.2604, acc: 0.8873, mse: 0.0006, val_loss: 0.2878, val_acc: 0.8908, test_acc: 0.9005, test_auc: 0.9613
Iter: 137, recon_loss: 2.5388, ce_loss: 0.2578, acc: 0.8867, mse: 0.0006, val_loss: 0.3012, val_acc: 0.8838, test_acc: 0.9014, test_auc: 0.9597
Iter: 138, recon_loss: 2.5618, ce_loss: 0.2599, acc: 0.8867, mse: 0.0006, val_loss: 0.3041, val_acc: 0.8826, test_acc: 0.9070, test_auc: 0.9605
Iter: 139, recon_loss: 2.6620, ce_loss: 0.2663, acc: 0.8876, mse: 0.0006, val_loss: 0.3063, val_acc: 0.8815, test_acc: 0.8948, test_auc: 0.9582
Iter: 140, recon_loss: 2.6703, ce_loss: 0.2629, acc: 0.8897, mse: 0.0006, val_loss: 0.2795, val_acc: 0.8862, test_acc: 0.9042, test_auc: 0.9620
Iter: 141, recon_loss: 2.5854, ce_loss: 0.2572, acc: 0.8867, mse: 0.0006, val_loss: 0.2951, val_acc: 0.8932, test_acc: 0.8930, test_auc: 0.9600
Iter: 142, recon_loss: 2.6270, ce_loss: 0.2579, acc: 0.8897, mse: 0.0006, val_loss: 0.2734, val_acc: 0.8967, test_acc: 0.9033, test_auc: 0.9617
Iter: 143, recon_loss: 2.7198, ce_loss: 0.2580, acc: 0.8888, mse: 0.0006, val_loss: 0.2726, val_acc: 0.8885, test_acc: 0.9023, test_auc: 0.9632
Iter: 144, recon_loss: 2.6348, ce_loss: 0.2596, acc: 0.8862, mse: 0.0006, val_loss: 0.2909, val_acc: 0.8873, test_acc: 0.9023, test_auc: 0.9633
Iter: 145, recon_loss: 2.5755, ce_loss: 0.2537, acc: 0.8876, mse: 0.0006, val_loss: 0.3011, val_acc: 0.8838, test_acc: 0.8911, test_auc: 0.9595
Iter: 146, recon_loss: 2.6593, ce_loss: 0.2553, acc: 0.8903, mse: 0.0006, val_loss: 0.2770, val_acc: 0.8885, test_acc: 0.9052, test_auc: 0.9605
Iter: 147, recon_loss: 2.8815, ce_loss: 0.2773, acc: 0.8850, mse: 0.0006, val_loss: 0.3419, val_acc: 0.8662, test_acc: 0.8826, test_auc: 0.9468
Iter: 148, recon_loss: 2.8813, ce_loss: 0.2662, acc: 0.8859, mse: 0.0006, val_loss: 0.2890, val_acc: 0.8826, test_acc: 0.8986, test_auc: 0.9631
Iter: 149, recon_loss: 2.8005, ce_loss: 0.2713, acc: 0.8829, mse: 0.0006, val_loss: 0.3136, val_acc: 0.8826, test_acc: 0.8854, test_auc: 0.9569
Iter: 150, recon_loss: 2.6970, ce_loss: 0.2622, acc: 0.8914, mse: 0.0006, val_loss: 0.2869, val_acc: 0.8826, test_acc: 0.8930, test_auc: 0.9603
